HDI_rank,HDI_category,Country,1975,1980,1985,1990,1995,2000,2005
84,MEDIUM,Turkey,0.594,0.615,0.651,0.683,0.717,0.753,0.775
85,MEDIUM,Suriname,,,,,,,0.774
86,MEDIUM,Jordan,,0.647,0.669,0.684,0.710,0.751,0.773
87,MEDIUM,Peru,0.647,0.676,0.699,0.710,0.737,0.763,0.773
88,MEDIUM,Lebanon,,,,0.692,0.730,0.748,0.772
89,MEDIUM,Ecuador,0.636,0.678,0.699,0.714,0.734,,0.772
90,MEDIUM,Philippines,0.655,0.688,0.692,0.721,0.739,0.758,0.7709999999999999
91,MEDIUM,Tunisia,0.519,0.575,0.626,0.662,0.702,0.741,0.7659999999999999
92,MEDIUM,Fiji,0.665,0.688,0.702,,0.743,0.747,0.762
93,MEDIUM,Saint Vincent and the Grenadines,,,,,,,0.7609999999999999
94,MEDIUM,Iran (Islamic Republic of),0.571,0.578,0.615,0.653,0.693,0.722,0.759
95,MEDIUM,Paraguay,0.667,0.701,0.707,0.718,0.737,0.749,0.755
96,MEDIUM,Georgia,,,,,,,0.754
97,MEDIUM,Guyana,0.682,0.684,0.675,0.679,0.699,0.722,0.75
98,MEDIUM,Azerbaijan,,,,,,,0.746
99,MEDIUM,Sri Lanka,0.619,0.656,0.683,0.702,0.721,0.731,0.743
100,MEDIUM,Maldives,,,,,,,0.741
101,MEDIUM,Jamaica,0.686,0.689,0.690,0.713,0.728,0.744,0.736
102,MEDIUM,Cape Verde,,,0.589,0.627,0.678,0.709,0.736
103,MEDIUM,El Salvador,0.595,0.590,0.611,0.653,0.692,0.716,0.735
104,MEDIUM,Algeria,0.511,0.562,0.613,0.652,0.672,0.702,0.733
105,MEDIUM,Viet Nam,,,0.590,0.620,0.672,0.711,0.733
106,MEDIUM,Occupied Palestinian Territories,,,,,,,0.731
107,MEDIUM,Indonesia,0.471,0.533,0.585,0.626,0.670,0.692,0.728
108,MEDIUM,Syrian Arab Republic,0.547,0.593,0.628,0.646,0.676,0.690,0.7240000000000001
109,MEDIUM,Turkmenistan,,,,,,,0.713
110,MEDIUM,Nicaragua,0.583,0.593,0.601,0.610,0.637,0.671,0.71
